,have_inv,intervallo
183,1,"(200.0, 400.0]"
184,1,"(200.0, 400.0]"
185,1,"(800.0, 1000.0]"
186,1,"(800.0, 1000.0]"
187,1,"(0.0, 200.0]"
188,1,"(0.0, 200.0]"
189,1,"(32400.0, 32600.0]"
190,1,"(200.0, 400.0]"
192,1,"(-200.0, 0.0]"
193,1,"(0.0, 200.0]"
194,1,"(0.0, 200.0]"
195,1,"(28400.0, 28600.0]"
196,1,"(0.0, 200.0]"
197,1,"(22000.0, 22200.0]"
198,1,"(0.0, 200.0]"
199,1,"(0.0, 200.0]"
200,1,"(0.0, 200.0]"
201,1,"(0.0, 200.0]"
202,1,"(0.0, 200.0]"
203,1,"(0.0, 200.0]"
204,1,"(0.0, 200.0]"
205,1,"(40800.0, 41000.0]"
206,1,"(0.0, 200.0]"
207,1,"(4600.0, 4800.0]"
208,1,"(40400.0, 40600.0]"
209,1,"(200.0, 400.0]"
210,1,"(0.0, 200.0]"
211,1,"(600.0, 800.0]"
212,1,"(0.0, 200.0]"
213,1,"(400.0, 600.0]"
214,1,"(1200.0, 1400.0]"
215,1,"(0.0, 200.0]"
216,1,"(0.0, 200.0]"
217,1,"(0.0, 200.0]"
218,1,"(0.0, 200.0]"
219,0,"(-200.0, 0.0]"
220,1,"(400.0, 600.0]"
221,1,"(200.0, 400.0]"
222,1,"(0.0, 200.0]"
223,1,"(0.0, 200.0]"
224,1,"(800.0, 1000.0]"
225,1,"(0.0, 200.0]"
226,1,"(0.0, 200.0]"
227,1,"(3800.0, 4000.0]"
228,1,"(200.0, 400.0]"
229,1,"(600.0, 800.0]"
230,1,"(0.0, 200.0]"
231,1,"(200.0, 400.0]"
232,1,"(40600.0, 40800.0]"
233,1,"(0.0, 200.0]"
234,1,"(40400.0, 40600.0]"
235,1,"(40600.0, 40800.0]"
236,1,"(40800.0, 41000.0]"
237,1,"(-200.0, 0.0]"
238,1,"(40600.0, 40800.0]"
239,1,"(0.0, 200.0]"
240,1,"(28000.0, 28200.0]"
241,1,"(-200.0, 0.0]"
242,0,"(4800.0, 5000.0]"
